name,year,value,lastvalue,rank
Belarus,1976,95.966301,92.459602,24
Belarus,1956,35.3661,32.257099,26
Belarus,2008,65.8731,65.405296,47
Belarus,1955,32.257099,28.450199,27
Belarus,1953,26.054001,24.6297,26
Belgium,1955,92.039703,85.752296,11
Belgium,1972,130.19209,120.2852,19
Belgium,2009,105.4563,114.6334,36
Belgium,1983,103.4506,112.421,28
Belgium,1964,103.5776,105.6991,17
Belgium,2012,108.8945,114.7945,37
Belgium,1960,90.922203,88.328003,16
Belgium,2007,110.7205,114.4417,35
Belgium,2008,114.6334,110.7205,35
Belgium,2003,123.4646,116.0271,31
Belgium,1968,118.4608,107.3845,17
Belgium,1975,119.0195,134.2926,22
Belgium,1974,134.2926,136.2401,22
Belgium,1953,82.392403,83.480598,11
Belgium,1957,96.502403,96.799202,12
Belgium,1989,109.2689,107.8233,31
Belgium,1956,96.799202,92.039703,11
Belgium,1987,105.6459,105.4189,31
Belgium,2001,123.4751,122.3914,30
Belgium,1986,105.4189,104.689,30
Belgium,1977,127.3392,128.2009,22
Belgium,1990,111.4015,109.2689,31
Belgium,2004,119.4552,123.4646,32
Belgium,2011,114.7945,113.9655,35
Belgium,1973,136.2401,130.19209,19
Belgium,1988,107.8233,105.6459,31
Belgium,1969,123.5208,118.4608,17
Belgium,1954,85.752296,82.392403,11
Belgium,1997,122.4921,125.1768,29
Belgium,1982,112.421,118.8242,27
Belgium,1976,128.2009,119.0195,22
Belgium,1971,120.2852,125.5176,19
Belgium,1981,118.8242,129.41631,25
Belgium,1967,107.3845,105.1238,17
Belgium,1994,119.6816,113.5722,29
Belgium,1959,88.328003,87.7015,16
Belgium,2000,122.3914,121.0174,29
Belgium,1992,116.2831,116.8897,28
Belgium,1991,116.8897,111.4015,29
Belgium,1962,98.041298,92.717499,16
Belgium,1970,125.5176,123.5208,18
Belgium,1951,89.467598,76.214897,11
Belgium,1963,105.6991,98.041298,16
Belgium,1965,105.3547,103.5776,17
Belgium,1984,105.4833,103.4506,28
Belgium,1996,125.1768,119.3064,29
Belgium,1978,132.80389,127.3392,22
Belgium,1998,124.4281,122.4921,28
Belgium,1995,119.3064,119.6816,30
Belgium,1980,129.41631,136.1499,24
Belgium,2002,116.0271,123.4751,32
Belgium,1979,136.1499,132.80389,22
Belgium,2010,113.9655,105.4563,36
Belgium,1961,92.717499,90.922203,16
Belgium,1993,113.5722,116.2831,31
Belgium,1958,87.7015,96.502403,15
Belgium,2006,114.4417,117.0049,33
Belgium,1985,104.689,105.4833,28
Belgium,2005,117.0049,119.4552,32
Belgium,1952,83.480598,89.467598,11
Belgium,1950,76.214897,76.214897,11
Belgium,1966,105.1238,105.3547,17
Belgium,1999,121.0174,124.4281,28
Brazil,1957,35.8083,36.456799,27
Brazil,1953,25.179001,24.929899,27
Brazil,1958,38.757801,35.8083,27
Brazil,1999,314.61261,303.6795,15
Brazil,1964,56.136101,55.077202,25
Brazil,1974,135.06059,122.1258,21
Brazil,2008,391.9075,369.35559,14
Brazil,1950,19.6574,19.6574,27
Brazil,1987,201.80881,196.7128,17
Brazil,1980,191.1395,193.5853,18
Brazil,1956,36.456799,33.917599,25
Brazil,1998,303.6795,294.10651,18
Brazil,2004,340.5358,322.7236,18
Brazil,1967,65.296097,63.478802,24
Brazil,1954,29.5648,25.179001,26
Brazil,1951,21.6506,19.6574,29
Brazil,1991,214.98801,207.95599,20
Brazil,2012,477.77011,443.15839,11
Brazil,1955,33.917599,29.5648,26
Brazil,1996,273.9978,251.6037,18
Brazil,1969,82.971298,76.372398,24
Brazil,1972,104.0319,95.1241,22
Brazil,1968,76.372398,65.296097,24
Brazil,1966,63.478802,55.7001,24
Brazil,1970,91.794197,82.971298,23
Brazil,1992,217.9696,214.98801,20
Brazil,1976,159.12109,144.3573,19
Brazil,1979,193.5853,180.3019,17
Brazil,2010,422.43039,370.3887,13
Brazil,1962,53.1353,48.610298,24
Brazil,1971,95.1241,91.794197,22
Brazil,1960,46.324001,38.585602,25
Brazil,1961,48.610298,46.324001,26
Brazil,1981,177.7516,191.1395,19
Brazil,2001,332.995,326.89581,15
Brazil,2000,326.89581,314.61261,15
Brazil,1959,38.585602,38.757801,27
Brazil,1977,164.4767,159.12109,20
Brazil,1993,224.88409,217.9696,18
Brazil,1984,171.6366,168.3884,20
Brazil,1978,180.3019,164.4767,19
Brazil,1989,207.9464,205.4791,19
Brazil,1983,168.3884,179.00999,21
Brazil,1995,251.6037,233.3842,18
Brazil,1975,144.3573,135.06059,20
Brazil,1963,55.077202,53.1353,25
Brazil,2002,331.48999,332.995,15
Brazil,2003,322.7236,331.48999,19
Brazil,1997,294.10651,273.9978,18
Brazil,2007,369.35559,352.18079,17
Brazil,1986,196.7128,176.27879,17
Brazil,2011,443.15839,422.43039,12
Brazil,1994,233.3842,224.88409,18
Brazil,1990,207.95599,207.9464,19
Brazil,1985,176.27879,171.6366,20
Brazil,2005,346.5112,340.5358,17
Brazil,2009,370.3887,391.9075,17
Brazil,1982,179.00999,177.7516,19
Brazil,2006,352.18079,346.5112,17
Brazil,1988,205.4791,201.80881,17
Brazil,1952,24.929899,21.6506,26
Brazil,1973,122.1258,104.0319,22
